ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE;REVENUE;MONTH
10285;36,0;100,0;6,0;4099,68;2004-08-27;Shipped;3,0;8,0;2004,0;Motorcycles;95,0;S10_1678;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;;Hernandez;Marta;Medium;3600,0;8
10309;41,0;100,0;5,0;4394,38;2004-10-15;Shipped;4,0;10,0;2004,0;Motorcycles;95,0;S10_1678;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Medium;4100,0;10
10318;46,0;94,74;1,0;4358,04;2004-11-02;Shipped;4,0;11,0;2004,0;Motorcycles;95,0;S10_1678;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;USA;;Yu;Kyung;Medium;4358,04;11
10329;42,0;100,0;1,0;4396,14;2004-11-15;Shipped;4,0;11,0;2004,0;Motorcycles;95,0;S10_1678;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Medium;4200,0;11
10341;41,0;100,0;9,0;7737,93;2004-11-24;Shipped;4,0;11,0;2004,0;Motorcycles;95,0;S10_1678;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Large;4100,0;11
10388;42,0;76,36;4,0;3207,12;2005-03-03;Shipped;1,0;3,0;2005,0;Motorcycles;95,0;S10_1678;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;USA;;Benitez;Violeta;Medium;3207,12;3
10103;26,0;100,0;11,0;5404,62;2003-01-29;Shipped;1,0;1,0;2003,0;Classic Cars;214,0;S10_1949;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Medium;2600,0;1
10140;37,0;100,0;11,0;7374,1;2003-07-24;Shipped;3,0;7,0;2003,0;Classic Cars;214,0;S10_1949;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Large;3700,0;7
10163;21,0;100,0;1,0;4860,24;2003-10-20;Shipped;4,0;10,0;2003,0;Classic Cars;214,0;S10_1949;Classic Legends Inc.;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;USA;;Hernandez;Maria;Medium;2100,0;10
10206;47,0;100,0;6,0;9064,89;2003-12-05;Shipped;4,0;12,0;2003,0;Classic Cars;214,0;S10_1949;Canadian Gift Exchange Network;(604) 555-3392;1900 Oak St.;;Vancouver;BC;V3F 2K1;Canada;;Tannamuri;Yoshi;Large;4700,0;12
10215;35,0;100,0;3,0;6075,3;2004-01-29;Shipped;1,0;1,0;2004,0;Classic Cars;214,0;S10_1949;West Coast Collectables Co.;3105553722;3675 Furth Circle;;Burbank;CA;94019;USA;;Thompson;Steve;Medium;3500,0;1
10228;29,0;100,0;2,0;6463,23;2004-03-10;Shipped;1,0;3,0;2004,0;Classic Cars;214,0;S10_1949;Cambridge Collectables Co.;6175555555;4658 Baden Av.;;Cambridge;MA;51247;USA;;Tseng;Kyung;Medium;2900,0;3
10245;34,0;100,0;9,0;6120,34;2004-05-04;Shipped;2,0;5,0;2004,0;Classic Cars;214,0;S10_1949;Super Scale Inc.;2035559545;567 North Pendale Street;;New Haven;CT;97823;USA;;Murphy;Leslie;Medium;3400,0;5
10280;34,0;100,0;2,0;8014,82;2004-08-17;Shipped;3,0;8,0;2004,0;Classic Cars;214,0;S10_1949;Amica Models & Co.;011-4988555;Via Monte Bianco 34;;Torino;;10100;Italy;EMEA;Accorti;Paolo;Large;3400,0;8
10291;37,0;100,0;11,0;7136,19;2004-09-08;Shipped;3,0;9,0;2004,0;Classic Cars;214,0;S10_1949;Scandinavian Gift Ideas;0695-34 6555;?kergatan 24;;Boras;;S-844 67;Sweden;EMEA;Larsson;Maria;Large;3700,0;9
10312;48,0;100,0;3,0;11623,7;2004-10-21;Shipped;4,0;10,0;2004,0;Classic Cars;214,0;S10_1949;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;;Nelson;Valarie;Large;4800,0;10
10322;40,0;100,0;1,0;6000,4;2004-11-04;Shipped;4,0;11,0;2004,0;Classic Cars;214,0;S10_1949;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;USA;;Young;Valarie;Medium;4000,0;11
10333;26,0;100,0;3,0;3003,0;2004-11-18;Shipped;4,0;11,0;2004,0;Classic Cars;214,0;S10_1949;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;;Murphy;Julie;Medium;2600,0;11
10357;32,0;100,0;10,0;5691,84;2004-12-10;Shipped;4,0;12,0;2004,0;Classic Cars;214,0;S10_1949;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;;Nelson;Valarie;Medium;3200,0;12
10369;41,0;100,0;2,0;4514,92;2005-01-20;Shipped;1,0;1,0;2005,0;Classic Cars;214,0;S10_1949;Collectables For Less Inc.;6175558555;7825 Douglas Av.;;Brickhaven;MA;58339;USA;;Nelson;Allen;Medium;4100,0;1
10381;36,0;100,0;3,0;8254,8;2005-02-17;Shipped;1,0;2,0;2005,0;Classic Cars;214,0;S10_1949;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Large;3600,0;2
10411;23,0;100,0;9,0;4140,23;2005-05-01;Shipped;2,0;5,0;2005,0;Classic Cars;214,0;S10_1949;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canada;;Fresnisre;Jean;Medium;2300,0;5
10107;39,0;99,91;5,0;3896,49;2003-02-24;Shipped;1,0;2,0;2003,0;Motorcycles;118,0;S10_2016;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Medium;3896,49;2
10134;27,0;100,0;5,0;3307,77;2003-07-01;Shipped;3,0;7,0;2003,0;Motorcycles;118,0;S10_2016;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;EMEA;Da Cunha;Daniel;Medium;2700,0;7
10145;37,0;100,0;9,0;5192,95;2003-08-25;Shipped;3,0;8,0;2003,0;Motorcycles;118,0;S10_2016;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;;Young;Julie;Medium;3700,0;8
10159;37,0;100,0;17,0;5016,83;2003-10-10;Shipped;4,0;10,0;2003,0;Motorcycles;118,0;S10_2016;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Medium;3700,0;10
10168;27,0;100,0;4,0;3660,93;2003-10-28;Shipped;4,0;10,0;2003,0;Motorcycles;118,0;S10_2016;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Medium;2700,0;10
10201;24,0;100,0;5,0;3025,92;2003-12-01;Shipped;4,0;12,0;2003,0;Motorcycles;118,0;S10_2016;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;;Murphy;Julie;Medium;2400,0;12
10236;22,0;100,0;1,0;2852,08;2004-04-03;Shipped;2,0;4,0;2004,0;Motorcycles;118,0;S10_2016;Motor Mint Distributors Inc.;2155559857;11328 Douglas Av.;;Philadelphia;PA;71270;USA;;Hernandez;Rosa;Small;2200,0;4
10251;44,0;100,0;5,0;5756,52;2004-05-18;Shipped;2,0;5,0;2004,0;Motorcycles;118,0;S10_2016;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;USA;;Brown;William;Medium;4400,0;5
10263;40,0;100,0;5,0;4472,0;2004-06-28;Shipped;2,0;6,0;2004,0;Motorcycles;118,0;S10_2016;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;;King;Julie;Medium;4000,0;6
10285;47,0;100,0;9,0;6484,59;2004-08-27;Shipped;3,0;8,0;2004,0;Motorcycles;118,0;S10_2016;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;;Hernandez;Marta;Medium;4700,0;8
10308;34,0;100,0;2,0;4043,96;2004-10-15;Shipped;4,0;10,0;2004,0;Motorcycles;118,0;S10_2016;Mini Classics;9145554562;3758 North Pendale Street;;White Plains;NY;24067;USA;;Frick;Steve;Medium;3400,0;10
10318;45,0;100,0;4,0;5566,5;2004-11-02;Shipped;4,0;11,0;2004,0;Motorcycles;118,0;S10_2016;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;USA;;Yu;Kyung;Medium;4500,0;11
10329;20,0;100,0;2,0;3176,0;2004-11-15;Shipped;4,0;11,0;2004,0;Motorcycles;118,0;S10_2016;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Medium;2000,0;11
10388;50,0;44,51;5,0;2225,5;2005-03-03;Shipped;1,0;3,0;2005,0;Motorcycles;118,0;S10_2016;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;USA;;Benitez;Violeta;Small;2225,5;3
10107;27,0;100,0;4,0;6065,55;2003-02-24;Shipped;1,0;2,0;2003,0;Motorcycles;193,0;S10_4698;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Medium;2700,0;2
10134;31,0;100,0;4,0;7023,98;2003-07-01;Shipped;3,0;7,0;2003,0;Motorcycles;193,0;S10_4698;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;EMEA;Da Cunha;Daniel;Large;3100,0;7
10145;33,0;100,0;8,0;5176,38;2003-08-25;Shipped;3,0;8,0;2003,0;Motorcycles;193,0;S10_4698;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;;Pasadena;CA;90003;USA;;Young;Julie;Medium;3300,0;8
10159;22,0;100,0;16,0;4132,7;2003-10-10;Shipped;4,0;10,0;2003,0;Motorcycles;193,0;S10_4698;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Medium;2200,0;10
10168;20,0;100,0;3,0;4183,0;2003-10-28;Shipped;4,0;10,0;2003,0;Motorcycles;193,0;S10_4698;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Medium;2000,0;10
10201;49,0;100,0;4,0;8065,89;2003-12-01;Shipped;4,0;12,0;2003,0;Motorcycles;193,0;S10_4698;Mini Wheels Co.;6505555787;5557 North Pendale Street;;San Francisco;CA;;USA;;Murphy;Julie;Large;4900,0;12
10237;39,0;100,0;9,0;7023,9;2004-04-05;Shipped;2,0;4,0;2004,0;Motorcycles;193,0;S10_4698;Vitachrome Inc.;2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;10022;USA;;Frick;Michael;Large;3900,0;4
10251;43,0;100,0;4,0;7078,23;2004-05-18;Shipped;2,0;5,0;2004,0;Motorcycles;193,0;S10_4698;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;;Newark;NJ;94019;USA;;Brown;William;Large;4300,0;5
10263;41,0;100,0;4,0;8336,94;2004-06-28;Shipped;2,0;6,0;2004,0;Motorcycles;193,0;S10_4698;Gift Depot Inc.;2035552570;25593 South Bay Ln.;;Bridgewater;CT;97562;USA;;King;Julie;Large;4100,0;6
10285;27,0;100,0;8,0;5438,07;2004-08-27;Shipped;3,0;8,0;2004,0;Motorcycles;193,0;S10_4698;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;;Hernandez;Marta;Medium;2700,0;8
10308;20,0;100,0;1,0;4570,4;2004-10-15;Shipped;4,0;10,0;2004,0;Motorcycles;193,0;S10_4698;Mini Classics;9145554562;3758 North Pendale Street;;White Plains;NY;24067;USA;;Frick;Steve;Medium;2000,0;10
10318;37,0;100,0;3,0;7667,14;2004-11-02;Shipped;4,0;11,0;2004,0;Motorcycles;193,0;S10_4698;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;USA;;Yu;Kyung;Large;3700,0;11
10329;26,0;100,0;3,0;5868,2;2004-11-15;Shipped;4,0;11,0;2004,0;Motorcycles;193,0;S10_4698;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Medium;2600,0;11
10362;22,0;100,0;4,0;3664,1;2005-01-05;Shipped;1,0;1,0;2005,0;Motorcycles;193,0;S10_4698;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Medium;2200,0;1
10388;21,0;86,77;7,0;1822,17;2005-03-03;Shipped;1,0;3,0;2005,0;Motorcycles;193,0;S10_4698;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;USA;;Benitez;Violeta;Small;1822,1699999999998;3
10105;50,0;100,0;2,0;7208,0;2003-02-11;Shipped;1,0;2,0;2003,0;Classic Cars;136,0;S10_4757;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Large;5000,0;2
10119;46,0;100,0;11,0;5004,8;2003-04-28;Shipped;2,0;4,0;2003,0;Classic Cars;136,0;S10_4757;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Medium;4600,0;4
10143;49,0;100,0;15,0;5597,76;2003-08-10;Shipped;3,0;8,0;2003,0;Classic Cars;136,0;S10_4757;Mini Creations Ltd.;5085559555;4575 Hillside Dr.;;New Bedford;MA;50553;USA;;Tam;Wing C;Medium;4900,0;8
10167;44,0;100,0;9,0;5924,16;2003-10-23;Cancelled;4,0;10,0;2003,0;Classic Cars;136,0;S10_4757;Scandinavian Gift Ideas;0695-34 6555;?kergatan 24;;Boras;;S-844 67;Sweden;EMEA;Larsson;Maria;Medium;4400,0;10
10178;24,0;100,0;12,0;3492,48;2003-11-08;Shipped;4,0;11,0;2003,0;Classic Cars;136,0;S10_4757;Alpha Cognac;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;31000;France;EMEA;Roulet;Annette;Medium;2400,0;11
10222;49,0;100,0;12,0;5997,6;2004-02-19;Shipped;1,0;2,0;2004,0;Classic Cars;136,0;S10_4757;Collectable Mini Designs Co.;7605558146;361 Furth Circle;;San Diego;CA;91217;USA;;Thompson;Valarie;Medium;4900,0;2
10248;20,0;100,0;3,0;2910,4;2004-05-07;Cancelled;2,0;5,0;2004,0;Classic Cars;136,0;S10_4757;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Small;2000,0;5
10261;27,0;100,0;1,0;3378,24;2004-06-17;Shipped;2,0;6,0;2004,0;Classic Cars;136,0;S10_4757;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canada;;Fresnisre;Jean;Medium;2700,0;6
10273;30,0;100,0;4,0;3508,8;2004-07-21;Shipped;3,0;7,0;2004,0;Classic Cars;136,0;S10_4757;Petit Auto;(02) 5554 67;Rue Joseph-Bens 532;;Bruxelles;;B-1180;Belgium;EMEA;Dewey;Catherine;Medium;3000,0;7
10295;24,0;100,0;1,0;3427,2;2004-09-10;Shipped;3,0;9,0;2004,0;Classic Cars;136,0;S10_4757;Gifts4AllAges.com;6175559555;8616 Spinnaker Dr.;;Boston;MA;51003;USA;;Yoshido;Juri;Medium;2400,0;9
10316;33,0;100,0;17,0;4128,96;2004-11-01;Shipped;4,0;11,0;2004,0;Classic Cars;136,0;S10_4757;giftsbymail.co.uk;(198) 555-8888;Garden House Crowther Way;;Cowes;Isle of Wight;PO31 7PJ;UK;EMEA;Bennett;Helen;Medium;3300,0;11
10325;47,0;64,93;6,0;3051,71;2004-11-05;Shipped;4,0;11,0;2004,0;Classic Cars;136,0;S10_4757;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Medium;3051,7100000000005;11
10337;25,0;48,05;8,0;1201,25;2004-11-21;Shipped;4,0;11,0;2004,0;Classic Cars;136,0;S10_4757;Classic Legends Inc.;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;USA;;Hernandez;Maria;Small;1201,25;11
10359;48,0;54,68;6,0;2624,64;2004-12-15;Shipped;4,0;12,0;2004,0;Classic Cars;136,0;S10_4757;Reims Collectables;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;France;EMEA;Henriot;Paul;Small;2624,64;12
10384;34,0;100,0;4,0;4846,7;2005-02-23;Shipped;1,0;2,0;2005,0;Classic Cars;136,0;S10_4757;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Medium;3400,0;2
10395;32,0;100,0;2,0;3370,56;2005-03-17;Shipped;1,0;3,0;2005,0;Classic Cars;136,0;S10_4757;Lyon Souveniers;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;EMEA;Da Cunha;Daniel;Medium;3200,0;3
10400;64,0;100,0;9,0;9661,44;2005-04-01;Shipped;2,0;4,0;2005,0;Classic Cars;136,0;S10_4757;The Sharp Gifts Warehouse;4085553659;3086 Ingle Ln.;;San Jose;CA;94217;USA;;Frick;Sue;Large;6400,0;4
10414;19,0;100,0;3,0;2764,88;2005-05-06;On Hold;2,0;5,0;2005,0;Classic Cars;136,0;S10_4757;Gifts4AllAges.com;6175559555;8616 Spinnaker Dr.;;Boston;MA;51003;USA;;Yoshido;Juri;Small;1900,0;5
10103;42,0;100,0;4,0;5398,26;2003-01-29;Shipped;1,0;1,0;2003,0;Classic Cars;147,0;S10_4962;Baane Mini Imports;07-98 9555;Erling Skakkes gate 78;;Stavern;;4110;Norway;EMEA;Bergulfsen;Jonas;Medium;4200,0;1
10140;26,0;100,0;4,0;3188,12;2003-07-24;Shipped;3,0;7,0;2003,0;Classic Cars;147,0;S10_4962;Technics Stores Inc.;6505556809;9408 Furth Circle;;Burlingame;CA;94217;USA;;Hirano;Juri;Medium;2600,0;7
10164;21,0;100,0;2,0;3536,82;2003-10-21;Resolved;4,0;10,0;2003,0;Classic Cars;147,0;S10_4962;Mini Auto Werke;7675-3555;Kirchgasse 6;;Graz;;8010;Austria;EMEA;Mendel;Roland;Medium;2100,0;10
10207;31,0;100,0;15,0;4076,19;2003-12-09;Shipped;4,0;12,0;2003,0;Classic Cars;147,0;S10_4962;Diecast Collectables;6175552555;6251 Ingle Ln.;;Boston;MA;51003;USA;;Franco;Valarie;Medium;3100,0;12
10217;48,0;100,0;4,0;7020,48;2004-02-04;Shipped;1,0;2,0;2004,0;Classic Cars;147,0;S10_4962;Handji Gifts& Co;+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;69045;Singapore;APAC;Victorino;Wendy;Large;4800,0;2
10229;50,0;100,0;9,0;6426,5;2004-03-11;Shipped;1,0;3,0;2004,0;Classic Cars;147,0;S10_4962;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;;Nelson;Valarie;Medium;5000,0;3
10245;28,0;100,0;2,0;4591,72;2004-05-04;Shipped;2,0;5,0;2004,0;Classic Cars;147,0;S10_4962;Super Scale Inc.;2035559545;567 North Pendale Street;;New Haven;CT;97823;USA;;Murphy;Leslie;Medium;2800,0;5
10259;26,0;100,0;12,0;4033,38;2004-06-15;Shipped;2,0;6,0;2004,0;Classic Cars;147,0;S10_4962;Handji Gifts& Co;+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;69045;Singapore;APAC;Victorino;Wendy;Medium;2600,0;6
10281;44,0;100,0;9,0;7020,64;2004-08-19;Shipped;3,0;8,0;2004,0;Classic Cars;147,0;S10_4962;Diecast Classics Inc.;2155551555;7586 Pompton St.;;Allentown;PA;70267;USA;;Yu;Kyung;Large;4400,0;8
10291;30,0;100,0;4,0;3855,9;2004-09-08;Shipped;3,0;9,0;2004,0;Classic Cars;147,0;S10_4962;Scandinavian Gift Ideas;0695-34 6555;?kergatan 24;;Boras;;S-844 67;Sweden;EMEA;Larsson;Maria;Medium;3000,0;9
10305;38,0;100,0;13,0;6680,78;2004-10-13;Shipped;4,0;10,0;2004,0;Classic Cars;147,0;S10_4962;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;;Hernandez;Marta;Medium;3800,0;10
10313;40,0;100,0;7,0;6678,0;2004-10-22;Shipped;4,0;10,0;2004,0;Classic Cars;147,0;S10_4962;Canadian Gift Exchange Network;(604) 555-3392;1900 Oak St.;;Vancouver;BC;V3F 2K1;Canada;;Tannamuri;Yoshi;Medium;4000,0;10
10322;46,0;61,99;8,0;2851,54;2004-11-04;Shipped;4,0;11,0;2004,0;Classic Cars;147,0;S10_4962;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;USA;;Young;Valarie;Small;2851,54;11
10357;43,0;100,0;9,0;5780,92;2004-12-10;Shipped;4,0;12,0;2004,0;Classic Cars;147,0;S10_4962;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;;Nelson;Valarie;Medium;4300,0;12
10381;37,0;100,0;6,0;6231,54;2005-02-17;Shipped;1,0;2,0;2005,0;Classic Cars;147,0;S10_4962;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Medium;3700,0;2
10411;27,0;100,0;2,0;4427,73;2005-05-01;Shipped;2,0;5,0;2005,0;Classic Cars;147,0;S10_4962;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canada;;Fresnisre;Jean;Medium;2700,0;5
10108;33,0;100,0;6,0;5265,15;2003-03-03;Shipped;1,0;3,0;2003,0;Classic Cars;194,0;S12_1099;Cruz & Sons Co.;+63 2 555 3587;15 McCallum Street - NatWest Center #13-03;;Makati City;;1227 MM;Philippines;Japan;Cruz;Arnold;Medium;3300,0;3
10135;42,0;100,0;7,0;8008,56;2003-07-02;Shipped;3,0;7,0;2003,0;Classic Cars;194,0;S12_1099;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;;Nelson;Valarie;Large;4200,0;7
10147;48,0;100,0;7,0;9245,76;2003-09-05;Shipped;3,0;9,0;2003,0;Classic Cars;194,0;S12_1099;Collectables For Less Inc.;6175558555;7825 Douglas Av.;;Brickhaven;MA;58339;USA;;Nelson;Allen;Large;4800,0;9
10159;41,0;100,0;2,0;8296,35;2003-10-10;Shipped;4,0;10,0;2003,0;Classic Cars;194,0;S12_1099;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;;Brown;Julie;Large;4100,0;10
10238;28,0;100,0;3,0;5774,72;2004-04-09;Shipped;2,0;4,0;2004,0;Classic Cars;194,0;S12_1099;Danish Wholesale Imports;31 12 3555;Vinb'ltet 34;;Kobenhavn;;1734;Denmark;EMEA;Petersen;Jytte;Medium;2800,0;4
10266;44,0;100,0;14,0;9160,36;2004-07-06;Shipped;3,0;7,0;2004,0;Classic Cars;194,0;S12_1099;L'ordine Souveniers;0522-556555;Strada Provinciale 124;;Reggio Emilia;;42100;Italy;EMEA;Moroni;Maurizio;Large;4400,0;7
10276;50,0;100,0;3,0;9631,0;2004-08-02;Shipped;3,0;8,0;2004,0;Classic Cars;194,0;S12_1099;Online Mini Collectables;6175557555;7635 Spinnaker Dr.;;Brickhaven;MA;58339;USA;;Barajas;Miguel;Large;5000,0;8
10329;41,0;71,47;5,0;2930,27;2004-11-15;Shipped;4,0;11,0;2004,0;Classic Cars;194,0;S12_1099;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;;Yu;Kwai;Small;2930,27;11
10341;45,0;79,65;2,0;3584,25;2004-11-24;Shipped;4,0;11,0;2004,0;Classic Cars;194,0;S12_1099;Salzburg Collectables;6562-9555;Geislweg 14;;Salzburg;;5020;Austria;EMEA;Pipps;Georg;Medium;3584,2500000000005;11
